Data,Rating,Titolo,Testo,Locale,Etichetta
2022-01-31,10,non ci siamo per niente,sono stata con amici per un brunch e sono rimasta molto delusa locale sporco pieno di moscerini cibo pessimo mai più,melzideril,neg
2022-01-05,20,si mangia insieme ai moscerini,il cibo è buono ma da un po di tempo ci sono tantissimi moscerini e sinceramente non è il massimo  forse bisogna chiamare qualche società che faccia la disinfestazione oggi è stata dura mangiare,melzideril,neg
2021-10-12,20,"poco pulizia , e molta sgarbatezza .",mosche sulle brioche  insetti in bagno  poco pulizia  modi sorprendentemente sgarbati da parte della ragazza in cassa la quale ha inizialmente rifiutato il pagamento con monete  poco attenzione verso il cliente  molto delusi ,melzideril,neg
2021-09-06,20,mai più,il locale non sembra pulito e il dehor è proprio sporco camerieri lenti e musoni prezzi alti e prodotti davvero mediocri  la cameriera tocca i dolci con le mani e poi tocca i soldi  ma stiamo scherzando sveglia mai più ,melzideril,neg
2021-08-02,10,"pandenus, che succede?",servizio inesistente sono entrata totale clienti nel negozio 2 me inclusa guardo le brioches cerco di farmi servire non un buongiorno non un cenno sono trasparente i camerieri sono due mi ignorano decido di portare pazienza mi siedo ad un tavolino fuori aspetto 5 minuti niente mi alzo e me ne vado mi spiace molto perché amo pandenus ho profonda stima dei fondatori pippo ho anche dormito nella locanda pur abitando a milano questi due soggetti non la rappresentano 2 agosto ore 10 ora sono alla martesana negozio pieno di clienti servita in meno di 1 minuto,melzideril,neg
2021-08-01,20,chiudi per ferie allora…,premetto che i pandenus in generale mi sono sempre piaciuti ma lesperienza di oggi è stata catastrofica e abbastanza paradossale viene prenotato un tavolo per il brunch e la cameriera ci chiede se abbiamo prenotato locale vuoto ci chiede se vogliamo stare fuori o dentro e alla nostra richiesta di stare fuori parte per togliere le stoviglie da un tavolo precedentemente occupato ci arriva il menu e scopriamo non esserci il brunch e alla nostra domanda come mai ci viene risposto  venerdì prossimo chiudiamo per gli sprechi a venerdì prossimo mancano cinque giorni vabbè sorvolando ordiniamo il club sandwich e patatine si salvano il pollo con insalata è inguardabile piazzato in un piatto con due fette di pomodoro uninsalata woldorf salatissima micro ma servita su un piatto enorme ed infine un avocado toast appoltigliato le cocacola zero calde  avranno spento il frigo per la chiusura di venerdì il dubbio ci assale per finire un conto con quattro gianduiotti squagliati anche no grazie anche se apprezzo il gesto alle volte conviene anticipare le ferie e il personale se sorride fa fare più bella figura al brand,melzideril,neg
2021-05-27,10,per prima colazione no,crostata di marmellata piccolina ed un po secca a tre euro ed un caffè servito in malo modo per la prima colazione posto da dimenticare,melzideril,neg
2021-05-09,20,brunch non come prima del covid,il menu online non rispecchia quello realmente disponibile in loco solo metà dei piatti sono presenti nel menu cosa più negativa il brunch non è più un brunch bensì un piatto online si legge che con il piatto vengono serviti pane e marmellata e caffè al locale invece ci confermano che ora si serve il solo piatto allo stesso prezzo per cercare di assecondarci ci hanno gentilmente offerto del pane e marmellata apprezzato il gesto ma 20 euro per un uovo alla benedict non si giustifica arance terminate alle 1330 non si servono più spremute se online cè un menu deve essere aggiornato,melzideril,neg
2021-04-28,40,siamo stati al pandenus stasera.,siamo stati al pandenus stasera prenotato allultimo perché il locale dove avevamo riservato un tavolo alla fine ci faceva accomodare sotto lacqua nonostante la pioggia e nonostante avesse gli ombrelloni  si era certamente dimenticato della prenotazione   arrivati hanno cercato di trovarci un posto al coperto nonostante certamente causa covid abbiamo il personale ridotto al minimo  per cercare di sopravvivere immagino   finalmente seduti abbiamo ordinato era già tardi causa coprifuoco una serie di inconvenienti  problemi di elettricità e altro che con un normale numero di personale sarebbero stati facilmente gestibili con solo due persone in sala hanno causato forti ritardi poco gestibili causa coprifuoco  ma il gestore si è scusato e ci ha gentilmente omaggiato due portate  che dire difficile riuscire a riaprire in una situazione come questa dove i coperti allesterno non sono sufficienti a coprire i costi fissi e se piove diventa un vero salasso quindi ringrazio il gestore che con la sua cortesia ci ha fatto dimenticare la lentezza del servizio  che tra laltro senza coprifuoco avrebbe causato meno fastidio   scrivo questa recensione sperando che tutti coloro i quali subiranno disservizi al ristorante in questo periodo possano comprendere che forse la colpa non è dei ristoratori ma di dcpm assurdi  notte,melzideril,pos
2020-10-05,20,servizio indecente,provato per un pranzo in famiglia nel week end locale non troppo affollato ma servizio davvero a rilento veniamo fatti accomodare in un tavolo non sparecchiato e aspettiamo 10 minuti buoni prima del cambio di posate dopo mezzora da quando ci siamo seduti finalmente arrivano i menùma passano altri 15 minuti prima che un cameriere venisse a prendere lordinazione menù bruch sfizioso anche se non ha un amplia sceltama comunque nonostante linfinita attesa molto buono peccato che al momento di andare a pagare troviamo una cassiera molto scorbutica che dopo un altra lunga attesafinalmente riesce a farmi pagare in conclusione formula brunch positiva ma serviziocura del cliente e gentilezza non sono proprio di casa,melzideril,neg
