2 aprile 2022,10,Vergognoso,Io e il mio ragazzo ci siamo recati una domenica a pranzo per il Brunch. 40 min dopo aver ordinato non eravamo ancora stati serviti mentre intorno a noi arrivava gente che ordinava e veniva servita dopo poco tempo. Lo facciamo notare al cameriere che invece di scusarsi ci dice che è normale perché c è molta gente. Dopo altri 10 min di attesa decidiamo di andarcene e veniamo addirittura aggrediti dal ragazzo. Vergognoso
20 marzo 2022,10,Mai più,Cameriera di una scortesia inaccettabile. Brusca come se fosse una seccatura avere clienti al tavolo. Prezzi esagerati per una qualità assolutamente mediocre. Mai più
25 febbraio 2022,10,No,"Due Birre Medie 16€? Non esiste. Per giunta, non abbiamo neanche preso l’aperitivo a buffet che offrono. Solo due olive e verdure crude. Mai più."
18 febbraio 2022,10,"Pizzetta da 1,50 vergognoso","Assurdo caffè americano cornetto e 5 Pizzettine 12,50 va bene tutto, ma meritate di chiudere per sempre, vergognoso non ho parole …"
8 gennaio 2022,10,Tornati per una colazione.....,"Dopo qualche tempo siamo tornati per una colazione e abbiamo avuto una pessima esperienza. Chieste due brioche ci hanno servito due croissant pessimi e non freschi. Già che eravamo seduti abbiamo provato in alternativa una beneziana che è stata anche peggio realizzata con un impasto mai visto prima.... I cappuccini da 2 € l'uno non raggiungono nemmeno la sufficienza. Abbiamo rappresentato le nostre valutazioni al personale che si è limitato ad impegnarsi nel riferire al loro ""laboratorio""."
3 gennaio 2022,10,Sempre peggio!,"Sono anni che frequento il Pandenus Concordia. Purtroppo ultimamente ( circa gli ultimi due anni) ho notato un peggioramento costante nel servizio. Tempi di attesa …. A dir poco lunghissimi! Il personale è cambiato quasi completamente e non è più all’altezza. L’ultima volta dopo 20 minuti di attesa per un cappuccino, ci siamo alzati e ce ne siamo andati. No così non va!! Peccato!"
27 novembre 2021,10,Qualità scende e prezzi salgono,"Prezzi aumentati, qualità delle briosche scadente... e manca l abc della cordialità vs cliente. Il nome non basta piu...."
21 novembre 2021,10,Brunch fregatura,"Negli anni ho portato tante persone da Pandenus Concordia, anche per il brunch che era interessante. Torniamo dopo un paio di anni e scopriamo che nel menù ci sono sempre i piatti ""brunch"", ma non includono nulla. 16 euro per un hamburger piccolo e senza gusto, con 2 fettone di pomodoro e una foglia di insalata, nessuna salsa. Anche l'acqua è esclusa. Ma come si fa a chiamare brunch, quando è semplicemente un piatto ordinato alla carta? Delusione totale. Al momento di pagare, ho fatto presente alla cassa che non trovo onesto chiamare brunch qualcosa che non lo è, ma la ragazza ha fatto spallucce. Inoltre colazione costosissima rispetto ad altri locali della zona che offrono brioche decisamente migliori. Peccato, non credo che tornerò mai più."
1 settembre 2021,20,Aperitivo cosi cosi,"Aperitivo una sera, cocktail normali ma molto cari per una location che è abbastanza normale e nella media per Milano. Servizio normale."
26 luglio 2021,10,Mai più,"Sono andato a bere qualcosa dopo tanto tempo, ma non ci andrò mai più: il Moskow Mule sapeva solo di limone, mi hanno fatto pagare 11 € a cocktail, e sono stati pure scortesi (quando volevo pagare il tipo se ne è stava beatamente al telefono come se niente fosse). Questi devono imparare l' educazione e poi a fare i baristi. Sconsigliatissimo."
