31 gennaio 2022,10,Non ci siamo per niente,"Sono stata con amici per un brunch e sono rimasta molto delusa. Locale sporco, pieno di moscerini, cibo pessimo. Mai più."
5 gennaio 2022,20,Si mangia insieme ai moscerini,Il cibo è buono ma da un po’ di tempo ci sono tantissimi moscerini e sinceramente non è il massimo . Forse bisogna chiamare qualche società che faccia la disinfestazione. Oggi è stata dura mangiare
12 ottobre 2021,20,"Poco pulizia , e molta sgarbatezza .","Mosche sulle brioche , insetti in bagno . Poco pulizia . Modi sorprendentemente sgarbati da parte della ragazza in cassa la quale ha inizialmente rifiutato il pagamento con monete . Poco attenzione verso il cliente . Molto delusi ."
6 settembre 2021,20,Mai più,"Il locale non sembra pulito e il dehor è proprio sporco, camerieri lenti e musoni, prezzi alti e prodotti davvero mediocri . La cameriera tocca i dolci con le mani e poi tocca i soldi . Ma stiamo scherzando!?!?! Sveglia!!! Mai più !!!"
2 agosto 2021,10,"Pandenus, che succede?","Servizio inesistente. Sono entrata, totale clienti nel negozio: 2 me inclusa. Guardo le brioches, cerco di farmi servire. Non un buongiorno, non un cenno. Sono trasparente. I camerieri sono due, mi ignorano. Decido di portare pazienza, mi siedo ad un tavolino fuori. Aspetto 5 minuti. Niente. Mi alzo e me ne vado. Mi spiace molto perché amo Pandenus, ho profonda stima dei fondatori (Pippo!), ho anche dormito nella Locanda pur abitando a Milano. Questi due soggetti non la rappresentano (2 agosto ore 10). Ora sono alla Martesana, negozio pieno di clienti, servita in meno di 1 minuto."
1 agosto 2021,20,CHIUDI PER FERIE ALLORA…,"Premetto che i Pandenus, in generale, mi sono sempre piaciuti ma l’esperienza di oggi è stata catastrofica e abbastanza paradossale! Viene prenotato un tavolo per il brunch e la cameriera ci chiede se abbiamo prenotato (locale vuoto!). Ci chiede se vogliamo stare fuori o dentro e alla nostra richiesta di stare fuori parte per togliere le stoviglie da un tavolo precedentemente occupato. Ci arriva il menu’ e scopriamo non esserci il brunch e alla nostra domanda “come mai?” ci viene risposto … “venerdì prossimo chiudiamo… per gli sprechi”. A venerdì prossimo mancano cinque giorni… vabbè sorvolando, ordiniamo! Il club sandwich e patatine si salvano, il pollo con insalata è inguardabile piazzato in un piatto con due fette di pomodoro… un’insalata woldorf salatissima micro ma servita su un piatto enorme ed infine un avocado toast “appoltigliato”! Le Coca-Cola Zero calde … avranno spento il frigo per la chiusura di venerdì? Il dubbio ci assale. Per finire un conto con quattro gianduiotti squagliati… anche no grazie anche se apprezzo il gesto! Alle volte conviene anticipare le ferie e il personale se sorride fa fare più bella figura al brand!"
27 maggio 2021,10,Per prima colazione no,"Crostata di marmellata, piccolina ed un po’ secca, a tre euro, ed un caffè servito in malo modo. Per la prima colazione posto da dimenticare."
9 maggio 2021,20,Brunch non come prima del covid,"Il menu online non rispecchia quello realmente disponibile in loco: solo metà dei piatti sono presenti nel menu. Cosa più negativa il brunch non è più un brunch bensì un piatto. Online si legge che con il piatto vengono serviti pane e marmellata e caffè. Al locale invece ci confermano che ora si serve il solo piatto allo stesso prezzo. Per cercare di assecondarci ci hanno gentilmente offerto del pane e marmellata, apprezzato il gesto, ma 20 euro per un uovo alla benedict non si giustifica. Arance terminate alle 13.30 non si servono più spremute. Se online c'è un menu deve essere aggiornato."
28 aprile 2021,40,Siamo stati al Pandenus stasera.,"Siamo stati al Pandenus stasera. Prenotato all’ultimo perché il locale dove avevamo riservato un tavolo alla fine ci faceva accomodare sotto l’acqua nonostante la pioggia e nonostante avesse gli ombrelloni ( si era certamente dimenticato della prenotazione ) . Arrivati hanno cercato di trovarci un posto al coperto nonostante certamente causa Covid abbiamo il personale ridotto al minimo ( per cercare di sopravvivere immagino ) . Finalmente seduti abbiamo ordinato. Era già tardi causa coprifuoco. Una serie di inconvenienti ( problemi di elettricità e altro) che con un normale numero di personale sarebbero stati facilmente gestibili, con solo due persone in sala, hanno causato forti ritardi poco gestibili causa coprifuoco . Ma il gestore si è scusato e ci ha gentilmente omaggiato due portate  Che dire: difficile riuscire a riaprire in una situazione come questa dove i coperti all’esterno non sono sufficienti a coprire i costi fissi e se piove diventa un vero salasso. Quindi ringrazio il gestore che con la sua cortesia ci ha fatto dimenticare la lentezza del servizio ( che tra l’altro senza coprifuoco avrebbe causato meno fastidio) .  Scrivo questa recensione sperando che tutti coloro i quali subiranno disservizi al ristorante in questo periodo possano comprendere che forse la colpa non è dei ristoratori ma di dcpm assurdi  Notte"
5 ottobre 2020,20,Servizio indecente,"Provato per un pranzo in famiglia nel week end. Locale non troppo affollato, ma servizio davvero a rilento. Veniamo fatti accomodare in un tavolo non sparecchiato e aspettiamo 10 minuti buoni prima del cambio di posate. Dopo mezz'ora da quando ci siamo seduti finalmente arrivano i menù,ma passano altri 15 minuti prima che un cameriere venisse a prendere l'ordinazione. Menù bruch sfizioso anche se non ha un amplia scelta,ma comunque nonostante l'infinita attesa molto buono. Peccato che al momento di andare a pagare troviamo una cassiera molto scorbutica che dopo un altra lunga attesa,finalmente riesce a farmi pagare. In conclusione formula brunch positiva ma servizio,cura del cliente e gentilezza non sono proprio di casa"
