24 settembre 2021,30,Nella norma,"Location molto curata, in una zona molto tranquilla e rilassante. Ottimo cocktail e stuzzichini buoni. Un pochino caro il conto ma consigliabile"
8 settembre 2021,40,per colazione ....,"ci sono stato recentemente per colazione e ho trovato tutto eccellente, fresco e di qualità, quando sarò in zona ci tornerò senz'altro"
12 agosto 2021,30,Da rivedere,"4 aperitivi con amici, non dico che ci si debba abbuffare ma nemmeno arrivare a disputarci l'ultima oliva. Si può fare di più. Da rivedere."
2 agosto 2021,10,Caffè del lunedì mattina,"Primo caffè della giornata Passabile….miscela troppo forte, ovviamente va a gusto! Ma sul servizio e la maleducazione della persona alla cassa non posso passarci sopra. Cambia lavoro se ti pesa interagire con le persone! 2 Agosto h 9:45 ca"
30 maggio 2021,30,Gentilezza e poco più,"Gentilezza ma... manca qualcosa Gentilissimi i due camerieri, che ci hanno accolti tranquillamente nonostante fosse sera e si sono dimostrati attenti. Cocktail buoni, ma al momento di ordinare ci avvisano che mancano degli ingredienti. Menu messi a caso, trancetti di pizza tiepidi e sciapi come accompagnamento (meglio nulla...). Si salva giusto la gentilezza, ma per il resto cocktail appena passabili e poco altro. Può migliorare!"
6 maggio 2021,50,Sentirsi a casa,"Mi piace quando entro in un ristorante/bar e il personale mi saluta per nome e con il sorriso sulle labbra, mi sento a casa.  Vengo spesso qui per colazione o pranzo e i piatti sono sempre super anche quando hai solo il tempo di una pausa pranzo veloce. Le proposte in menù sono buone e stupende per gli occhi e per il palato.  Grazie a Umberto, Lili e Bryan perché davvero mi sento a casa con le vostre attenzioni."
12 febbraio 2021,50,Colazione,"Luogo accogliente, pulizia, personale cordiale e attento con la clientela. Felici della riapertura, sentivamo la mancanza. 👍👍👍"
7 febbraio 2021,10,NON CI SIAMO,"Un pallino non per i prodotti che sono ottimi ma per l’atteggiamento maleducato, scocciato ed irriverente della signora Liliana, motivo per cui era da tempo che non ci mettevo più piede. Oggi speravo che qualcosa fosse cambiato. Mi sbagliavo!"
18 ottobre 2020,20,PURTROPPO SCONSIGLIATO,"Locale in zona Corso Buenos Aires/Porta Venezia. Dopo aver mangiato un'insalata, nel fondo del piatto trovo un verme. Fatto presente alla cameriera visibilmente dispiaciuta, ci hanno portato dei dolcetti per scusarsi e la mia quota è stata da loro offerta. A prescindere da ciò, i prezzi non sono adeguati alle porzioni."
16 ottobre 2020,10,Pessimi,"In quattro di sabato sera siamo stati accolti da un cameriere MALEDUCATO con: ""DIMMI"". Si potrà mai dire a dei clienti ""dimmi""? Un ""buonasera"" o un semplice ""ciao"" è passato di moda? Chiediamo degli analcolici, due secchi e due dolci. Ci sono stati serviti di fretta e furia senza dirci la distinzione fra i due in quanto identici solo con decorazione diversa. Quando chiedo al cameriere la differenza fra i dolci ed i secchi, risponde con saccenza e senza troppo dilungarsi con ""sono gia stati messi alle persone giuste"" ed invece no, aveva totalmente sbagliato. Cocktail discreto. Personale da riformare o da cambiare del tutto. E per cortesia fate qualcosa per i topi che corrono fra i tavoli."
